#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
KGZ,Kyrgyzstan,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",19,2009-2019
KGZ,Kyrgyzstan,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",11.28591,2009-2019
KGZ,Kyrgyzstan,177706,Survival rate to the last grade of lower secondary general education (%),97.19105,2008-2018
KGZ,Kyrgyzstan,178306,Gross capital formation (% of GDP),32.9288,2015-2019
KGZ,Kyrgyzstan,179406,Skilled labour force (% of labour force),92.68,2010-2019
KGZ,Kyrgyzstan,179706,Ratio of education and health expenditure to military expenditure,7.317283,2010-2017
KGZ,Kyrgyzstan,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",33.72773,2009-2019
KGZ,Kyrgyzstan,181106,Birth registration (% under age 5),98.9,2009-2019
KGZ,Kyrgyzstan,181206,Proportion of births attended by skilled health personnel (%),99.8,2014-2019
KGZ,Kyrgyzstan,181306,Child labour (% ages 5-17),22.3,2010-2019
KGZ,Kyrgyzstan,181406,"Child marriage, women married by age 18 (% of women ages 20–24 who are married or in union)",12.9,2005-2019
KGZ,Kyrgyzstan,182806,Population using safely managed drinking-water services (%),68,2017
KGZ,Kyrgyzstan,183206,"Overall loss in HDI value due to inequality, average annual change (%)",-4.898166386,2010/2019
KGZ,Kyrgyzstan,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",24.7767788,2008-2019
KGZ,Kyrgyzstan,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",31.27617,2009-2019
KGZ,Kyrgyzstan,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",68.72383,2009-2019
KGZ,Kyrgyzstan,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),68.07,2011-2019
KGZ,Kyrgyzstan,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.29614,2009-2019
KGZ,Kyrgyzstan,185306,Percentage of primary schools with access to the internet,41.4,2010-2019
KGZ,Kyrgyzstan,185406,Percentage of secondary schools with access to the internet,43.6,2010-2019
KGZ,Kyrgyzstan,186806,Average annual change in the share of bottom 40 percent (%),0.9475555,2005/2018
KGZ,Kyrgyzstan,186906,Income share held by poorest 40%,23.4,2010-2018
KGZ,Kyrgyzstan,187006,Income share held by richest 10 %,23.6,2010-2018
KGZ,Kyrgyzstan,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",55.65,2011-2019
KGZ,Kyrgyzstan,44206,Total population (millions),7.446106,2030
KGZ,Kyrgyzstan,47906,Median age (years),26.034,2020
KGZ,Kyrgyzstan,110806,"Net migration rate (per 1,000 people)",-0.641,2020
KGZ,Kyrgyzstan,21806,Refugees by country of origin (thousands),2.969,2019
KGZ,Kyrgyzstan,23806,Population with at least some secondary education (% ages 25 and older),98.42,2019
KGZ,Kyrgyzstan,23906,"Population with at least some secondary education, female (% ages 25 and older)",99.09042481,2019
KGZ,Kyrgyzstan,24006,"Population with at least some secondary education, male (% ages 25 and older)",98.34,2019
KGZ,Kyrgyzstan,24106,"Mean years of schooling, female (years)",11.18735489,2019
KGZ,Kyrgyzstan,24206,"Mean years of schooling, male (years)",11.01766576,2019
KGZ,Kyrgyzstan,31706,Share of seats in parliament (% held by women),19.16666667,2019
KGZ,Kyrgyzstan,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",32.763,2019
KGZ,Kyrgyzstan,43006,Vulnerable employment (% of total employment),33.789,2019
KGZ,Kyrgyzstan,44206,Total population (millions),6.415851,2019
KGZ,Kyrgyzstan,45106,Urban population (%),36.6,2019
KGZ,Kyrgyzstan,48706,"Labour force participation rate (% ages 15 and older), female",44.768,2019
KGZ,Kyrgyzstan,48806,"Labour force participation rate (% ages 15 and older), male",75.735,2019
KGZ,Kyrgyzstan,49006,Sex ratio at birth (male to female births),1.06,2019
KGZ,Kyrgyzstan,52606,"Remittances, inflows (% of GDP)",28.504435,2019
KGZ,Kyrgyzstan,63106,Population ages 15–64 (millions),4.035443,2019
KGZ,Kyrgyzstan,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2019
KGZ,Kyrgyzstan,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2019
KGZ,Kyrgyzstan,65606,Gross fixed capital formation (% of GDP),31.46921306,2019
KGZ,Kyrgyzstan,68606,Gender Inequality Index (GII),0.369,2019
KGZ,Kyrgyzstan,69206,Life expectancy at birth (years),71.45,2019
KGZ,Kyrgyzstan,69706,Expected years of schooling (years),12.96756,2019
KGZ,Kyrgyzstan,71406,Inequality-adjusted education index,0.705798971,2019
KGZ,Kyrgyzstan,71506,Inequality-adjusted life expectancy index,0.702094615,2019
KGZ,Kyrgyzstan,71606,Inequality-adjusted income index,0.505624855,2019
KGZ,Kyrgyzstan,73506,Overall loss in HDI due to inequality (%),9.612625538,2019
KGZ,Kyrgyzstan,101606,Inequality in education (%),3.36425,2019
KGZ,Kyrgyzstan,101706,Inequality in income (%),13.83059,2019
KGZ,Kyrgyzstan,101806,Inequality in life expectancy (%),11.3,2019
KGZ,Kyrgyzstan,103006,Mean years of schooling (years),11.10481377,2019
KGZ,Kyrgyzstan,103206,Life expectancy index,0.791538462,2019
KGZ,Kyrgyzstan,103606,Income index,0.58677999,2019
KGZ,Kyrgyzstan,103706,Education index,0.730370459,2019
KGZ,Kyrgyzstan,110906,"Unemployment, youth (% ages 15–24)",14.354,2019
KGZ,Kyrgyzstan,120606,"Life expectancy at birth, female (years)",75.603,2019
KGZ,Kyrgyzstan,121106,"Life expectancy at birth, male (years)",67.437,2019
KGZ,Kyrgyzstan,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),51.674,2019
KGZ,Kyrgyzstan,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.314,2019
KGZ,Kyrgyzstan,123306,"Expected years of schooling, female (years)",13.21047,2019
KGZ,Kyrgyzstan,123406,"Expected years of schooling, male (years)",12.73308,2019
KGZ,Kyrgyzstan,132706,Population ages 65 and older (millions),0.295145,2019
KGZ,Kyrgyzstan,132806,Population under age 5 (millions),0.772574,2019
KGZ,Kyrgyzstan,133206,Exports and imports (% of GDP),103.085,2019
KGZ,Kyrgyzstan,135006,Coefficient of human inequality,9.49828,2019
KGZ,Kyrgyzstan,137506,Human Development Index (HDI),0.697,2019
KGZ,Kyrgyzstan,138806,Inequality-adjusted HDI (IHDI),0.63,2019
KGZ,Kyrgyzstan,140606,"Unemployment, total (% of labour force)",6.33,2019
KGZ,Kyrgyzstan,146206,HDI rank,120,2019
KGZ,Kyrgyzstan,147906,Youth not in school or employment (% ages 15-24),20.549,2019
KGZ,Kyrgyzstan,148206,Labour force participation rate (% ages 15 and older),59.831,2019
KGZ,Kyrgyzstan,148306,Employment to population ratio (% ages 15 and older),56.044,2019
KGZ,Kyrgyzstan,150606,Employment in agriculture (% of total employment),21.172,2019
KGZ,Kyrgyzstan,150706,Employment in services (% of total employment),54.759,2019
KGZ,Kyrgyzstan,153706,Working poor at PPP$3.20 a day (% of total employment),13.686,2019
KGZ,Kyrgyzstan,169706,Total unemployment rate (female to male ratio),1.328411315,2019
KGZ,Kyrgyzstan,169806,Youth unemployment rate (female to male ratio),2.001020976,2019
KGZ,Kyrgyzstan,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",38.42569362,2019
KGZ,Kyrgyzstan,178306,Gross capital formation (% of GDP),32.928803,2019
KGZ,Kyrgyzstan,181606,Red List Index (value),0.98464,2019
KGZ,Kyrgyzstan,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.29614,2019
KGZ,Kyrgyzstan,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",33.9187251,2019
KGZ,Kyrgyzstan,194906,GDP per capita (2017 PPP $),5253.097478,2019
KGZ,Kyrgyzstan,195706,Gross national income (GNI) per capita (constant 2017 PPP$),4864.390351,2019
KGZ,Kyrgyzstan,23806,Population with at least some secondary education (% ages 25 and older),98.42,2018
KGZ,Kyrgyzstan,23906,"Population with at least some secondary education, female (% ages 25 and older)",98.56,2018
KGZ,Kyrgyzstan,24006,"Population with at least some secondary education, male (% ages 25 and older)",98.34,2018
KGZ,Kyrgyzstan,24106,"Mean years of schooling, female (years)",10.9516,2018
KGZ,Kyrgyzstan,24206,"Mean years of schooling, male (years)",10.8092,2018
KGZ,Kyrgyzstan,31706,Share of seats in parliament (% held by women),19.16666667,2018
KGZ,Kyrgyzstan,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",35.57675,2018
KGZ,Kyrgyzstan,38406,Multidimensional poverty index (MPI),0.001426,2018
KGZ,Kyrgyzstan,38506,"Population in multidimensional poverty, intensity of deprivation (%)",36.28123,2018
KGZ,Kyrgyzstan,38606,"Population in multidimensional poverty, headcount (%)",0.3930311,2018
KGZ,Kyrgyzstan,43006,Vulnerable employment (% of total employment),33.889,2018
KGZ,Kyrgyzstan,43606,"Internet users, total (% of population)",38,2018
KGZ,Kyrgyzstan,44206,Total population (millions),6.304025,2018
KGZ,Kyrgyzstan,45106,Urban population (%),36.4,2018
KGZ,Kyrgyzstan,46006,Mobile phone subscriptions (per 100 people),122.57,2018
KGZ,Kyrgyzstan,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",24.98946,2018
KGZ,Kyrgyzstan,48706,"Labour force participation rate (% ages 15 and older), female",45.026,2018
KGZ,Kyrgyzstan,48806,"Labour force participation rate (% ages 15 and older), male",75.724,2018
KGZ,Kyrgyzstan,52606,"Remittances, inflows (% of GDP)",32.505559,2018
KGZ,Kyrgyzstan,53506,"Foreign direct investment, net inflows (% of GDP)",1.7436913,2018
KGZ,Kyrgyzstan,57206,"Mortality rate, infant (per 1,000 live births)",16.921962,2018
KGZ,Kyrgyzstan,57506,"Mortality rate, under-five (per 1,000 live births)",18.941158,2018
KGZ,Kyrgyzstan,57806,"Mortality rate, female adult (per 1,000 people)",94.014,2018
KGZ,Kyrgyzstan,57906,"Mortality rate, male adult (per 1,000 people)",210.663,2018
KGZ,Kyrgyzstan,58006,"HIV prevalence, adult (% ages 15-49)",0.2,2018
KGZ,Kyrgyzstan,61006,"Homicide rate (per 100,000 people)",2.189077613,2018
KGZ,Kyrgyzstan,63106,Population ages 15–64 (millions),3.981301,2018
KGZ,Kyrgyzstan,63206,"Gross enrolment ratio, primary (% of primary school-age population)",107.56541,2018
KGZ,Kyrgyzstan,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",95.05481,2018
KGZ,Kyrgyzstan,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",41.26702,2018
KGZ,Kyrgyzstan,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2018
KGZ,Kyrgyzstan,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2018
KGZ,Kyrgyzstan,65606,Gross fixed capital formation (% of GDP),31.65044919,2018
KGZ,Kyrgyzstan,68606,Gender Inequality Index (GII),0.375,2018
KGZ,Kyrgyzstan,69206,Life expectancy at birth (years),71.321,2018
KGZ,Kyrgyzstan,69706,Expected years of schooling (years),12.97451,2018
KGZ,Kyrgyzstan,71406,Inequality-adjusted education index,0.68707885,2018
KGZ,Kyrgyzstan,71506,Inequality-adjusted life expectancy index,0.700235567,2018
KGZ,Kyrgyzstan,71606,Inequality-adjusted income index,0.518295085,2018
KGZ,Kyrgyzstan,73506,Overall loss in HDI due to inequality (%),9.626436782,2018
KGZ,Kyrgyzstan,97306,Natural resource depletion (% of GNI),9.190404827,2018
KGZ,Kyrgyzstan,99106,Net official development assistance received (% of GNI),5.1571619,2018
KGZ,Kyrgyzstan,101006,Population in severe multidimensional poverty (%),0,2018
KGZ,Kyrgyzstan,101406,"Literacy rate, adult (% ages 15 and older)",99.586,2018
KGZ,Kyrgyzstan,101606,Inequality in education (%),4.97927,2018
KGZ,Kyrgyzstan,101706,Inequality in income (%),12.2,2018
KGZ,Kyrgyzstan,101806,Inequality in life expectancy (%),11.3125,2018
KGZ,Kyrgyzstan,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",25,2018
KGZ,Kyrgyzstan,103006,Mean years of schooling (years),10.88040163,2018
KGZ,Kyrgyzstan,103206,Life expectancy index,0.789553846,2018
KGZ,Kyrgyzstan,103606,Income index,0.590313309,2018
KGZ,Kyrgyzstan,103706,Education index,0.72308311,2018
KGZ,Kyrgyzstan,110906,"Unemployment, youth (% ages 15–24)",14.349,2018
KGZ,Kyrgyzstan,111106,International inbound tourists (thousands),423,2018
KGZ,Kyrgyzstan,111306,Private capital flows (% of GDP),-1.57226,2018
KGZ,Kyrgyzstan,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,17.85385,2018
KGZ,Kyrgyzstan,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,64.60405,2018
KGZ,Kyrgyzstan,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,17.5421,2018
KGZ,Kyrgyzstan,120606,"Life expectancy at birth, female (years)",75.473,2018
KGZ,Kyrgyzstan,121106,"Life expectancy at birth, male (years)",67.333,2018
KGZ,Kyrgyzstan,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),51.224,2018
KGZ,Kyrgyzstan,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),7.117,2018
KGZ,Kyrgyzstan,123306,"Expected years of schooling, female (years)",13.5661,2018
KGZ,Kyrgyzstan,123406,"Expected years of schooling, male (years)",13.1627,2018
KGZ,Kyrgyzstan,123506,"Estimated gross national income per capita, female (2017 PPP $)",3055.179082,2018
KGZ,Kyrgyzstan,123606,"Estimated gross national income per capita, male (2017 PPP $)",6944.677315,2018
KGZ,Kyrgyzstan,128306,"Prison population (per 100,000 people)",177.1,2018
KGZ,Kyrgyzstan,132706,Population ages 65 and older (millions),0.283349,2018
KGZ,Kyrgyzstan,132806,Population under age 5 (millions),0.787719,2018
KGZ,Kyrgyzstan,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",39.81791,2018
KGZ,Kyrgyzstan,133206,Exports and imports (% of GDP),98.87556,2018
KGZ,Kyrgyzstan,135006,Coefficient of human inequality,9.497256667,2018
KGZ,Kyrgyzstan,136906,"Human Development Index (HDI), female",0.678458821,2018
KGZ,Kyrgyzstan,137006,"Human Development Index (HDI), male",0.709067763,2018
KGZ,Kyrgyzstan,137506,Human Development Index (HDI),0.696,2018
KGZ,Kyrgyzstan,137906,Gender Development Index (GDI),0.956832133,2018
KGZ,Kyrgyzstan,138806,Inequality-adjusted HDI (IHDI),0.629,2018
KGZ,Kyrgyzstan,140606,"Unemployment, total (% of labour force)",5.96,2018
KGZ,Kyrgyzstan,142506,Population vulnerable to multidimensional poverty (%),5.238377,2018
KGZ,Kyrgyzstan,146206,HDI rank,120,2018
KGZ,Kyrgyzstan,147906,Youth not in school or employment (% ages 15-24),20.53,2018
KGZ,Kyrgyzstan,148206,Labour force participation rate (% ages 15 and older),59.965,2018
KGZ,Kyrgyzstan,148306,Employment to population ratio (% ages 15 and older),56.391,2018
KGZ,Kyrgyzstan,150606,Employment in agriculture (% of total employment),21.967,2018
KGZ,Kyrgyzstan,150706,Employment in services (% of total employment),54.435,2018
KGZ,Kyrgyzstan,153706,Working poor at PPP$3.20 a day (% of total employment),14.176,2018
KGZ,Kyrgyzstan,164406,Adjusted net savings (% of GNI),7.1226026,2018
KGZ,Kyrgyzstan,169706,Total unemployment rate (female to male ratio),1.139497878,2018
KGZ,Kyrgyzstan,169806,Youth unemployment rate (female to male ratio),2.22767901,2018
KGZ,Kyrgyzstan,170006,Concentration index (exports) (value),0.363814991,2018
KGZ,Kyrgyzstan,174206,"Total debt service (% of exports of goods, services and primary income)",31.266972,2018
KGZ,Kyrgyzstan,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",38.76340937,2018
KGZ,Kyrgyzstan,175206,"Antenatal care coverage, at least one visit (%)",99.8,2018
KGZ,Kyrgyzstan,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",39.4,2018
KGZ,Kyrgyzstan,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",19,2018
KGZ,Kyrgyzstan,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",11.28591,2018
KGZ,Kyrgyzstan,178306,Gross capital formation (% of GDP),36.016629,2018
KGZ,Kyrgyzstan,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",33.72773,2018
KGZ,Kyrgyzstan,181206,Proportion of births attended by skilled health personnel (%),99.8,2018
KGZ,Kyrgyzstan,181706,Rural population with access to electricity (%),100,2018
KGZ,Kyrgyzstan,182106,"Malaria incidence (per 1,000 people at risk)",0,2018
KGZ,Kyrgyzstan,182206,"Tuberculosis incidence (per 100,000 people)",116,2018
KGZ,Kyrgyzstan,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",25,2018
KGZ,Kyrgyzstan,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",31.27617,2018
KGZ,Kyrgyzstan,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",68.72383,2018
KGZ,Kyrgyzstan,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),68.07,2018
KGZ,Kyrgyzstan,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.28769,2018
KGZ,Kyrgyzstan,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",55.65,2018
KGZ,Kyrgyzstan,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",32.45589292,2018
KGZ,Kyrgyzstan,194906,GDP per capita (2017 PPP $),5133.151914,2018
KGZ,Kyrgyzstan,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.599167517,2018
KGZ,Kyrgyzstan,195706,Gross national income (GNI) per capita (constant 2017 PPP$),4979.513658,2018
KGZ,Kyrgyzstan,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",18.3,2018
KGZ,Kyrgyzstan,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",1.6,2018
KGZ,Kyrgyzstan,23806,Population with at least some secondary education (% ages 25 and older),98.42,2017
KGZ,Kyrgyzstan,23906,"Population with at least some secondary education, female (% ages 25 and older)",98.56,2017
KGZ,Kyrgyzstan,24006,"Population with at least some secondary education, male (% ages 25 and older)",98.34,2017
KGZ,Kyrgyzstan,24106,"Mean years of schooling, female (years)",10.9454,2017
KGZ,Kyrgyzstan,24206,"Mean years of schooling, male (years)",10.8032,2017
KGZ,Kyrgyzstan,31706,Share of seats in parliament (% held by women),19.16666667,2017
KGZ,Kyrgyzstan,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",38.3905,2017
KGZ,Kyrgyzstan,43006,Vulnerable employment (% of total employment),33.978,2017
KGZ,Kyrgyzstan,43606,"Internet users, total (% of population)",38,2017
KGZ,Kyrgyzstan,44206,Total population (millions),6.189727,2017
KGZ,Kyrgyzstan,45106,Urban population (%),36.1,2017
KGZ,Kyrgyzstan,45806,Primary school teachers trained to teach (%),95.43013,2017
KGZ,Kyrgyzstan,46006,Mobile phone subscriptions (per 100 people),119.067,2017
KGZ,Kyrgyzstan,46106,Primary school dropout rate (% of primary school cohort),1.86197,2017
KGZ,Kyrgyzstan,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",24.91353,2017
KGZ,Kyrgyzstan,48706,"Labour force participation rate (% ages 15 and older), female",46.018,2017
KGZ,Kyrgyzstan,48806,"Labour force participation rate (% ages 15 and older), male",75.157,2017
KGZ,Kyrgyzstan,52306,Research and development expenditure (% of GDP),0.10707,2017
KGZ,Kyrgyzstan,52606,"Remittances, inflows (% of GDP)",32.270532,2017
KGZ,Kyrgyzstan,53506,"Foreign direct investment, net inflows (% of GDP)",-1.3918435,2017
KGZ,Kyrgyzstan,57206,"Mortality rate, infant (per 1,000 live births)",17.853938,2017
KGZ,Kyrgyzstan,57506,"Mortality rate, under-five (per 1,000 live births)",19.994895,2017
KGZ,Kyrgyzstan,57806,"Mortality rate, female adult (per 1,000 people)",95.042,2017
KGZ,Kyrgyzstan,57906,"Mortality rate, male adult (per 1,000 people)",212.451,2017
KGZ,Kyrgyzstan,58006,"HIV prevalence, adult (% ages 15-49)",0.2,2017
KGZ,Kyrgyzstan,61006,"Homicide rate (per 100,000 people)",4.135885153,2017
KGZ,Kyrgyzstan,63106,Population ages 15–64 (millions),3.924694,2017
KGZ,Kyrgyzstan,63206,"Gross enrolment ratio, primary (% of primary school-age population)",107.04243,2017
KGZ,Kyrgyzstan,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",93.88858,2017
KGZ,Kyrgyzstan,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",42.81687,2017
KGZ,Kyrgyzstan,64306,"Infants lacking immunization, measles (% of one-year-olds)",5,2017
KGZ,Kyrgyzstan,64406,"Infants lacking immunization, DTP (% of one-year-olds)",6,2017
KGZ,Kyrgyzstan,65606,Gross fixed capital formation (% of GDP),31.46573915,2017
KGZ,Kyrgyzstan,68606,Gender Inequality Index (GII),0.378,2017
KGZ,Kyrgyzstan,69206,Life expectancy at birth (years),71.193,2017
KGZ,Kyrgyzstan,69706,Expected years of schooling (years),13.03037,2017
KGZ,Kyrgyzstan,71406,Inequality-adjusted education index,0.688221984,2017
KGZ,Kyrgyzstan,71506,Inequality-adjusted life expectancy index,0.692286877,2017
KGZ,Kyrgyzstan,71606,Inequality-adjusted income index,0.513514794,2017
KGZ,Kyrgyzstan,73506,Overall loss in HDI due to inequality (%),9.942363112,2017
KGZ,Kyrgyzstan,89006,"Maternal mortality ratio (deaths per 100,000 live births)",60,2017
KGZ,Kyrgyzstan,97306,Natural resource depletion (% of GNI),8.89138325,2017
KGZ,Kyrgyzstan,99106,Net official development assistance received (% of GNI),6.3422285,2017
KGZ,Kyrgyzstan,101606,Inequality in education (%),5,2017
KGZ,Kyrgyzstan,101706,Inequality in income (%),12.2,2017
KGZ,Kyrgyzstan,101806,Inequality in life expectancy (%),12.1,2017
KGZ,Kyrgyzstan,103006,Mean years of schooling (years),10.87468413,2017
KGZ,Kyrgyzstan,103206,Life expectancy index,0.787584615,2017
KGZ,Kyrgyzstan,103606,Income index,0.584868786,2017
